Projection,Level,Account Type,Account,Account Description,2025 Department Budget,2026 Department Budget,2027 Department Budget,2028 Department Budget,2029 Department Budget,2030 Department Budget,2031 Department Budget,2032 Department Budget,2033 Department Budget,2034 Department Budget,2024 Projected Actuals,2024 Original Budget,2024 Revised Budget,2024 Actuals,2023 Original Budget,2023 Revised Budget,2023 Actuals,2022 Revised Budget,2022 Actuals
20251,Department,R,1110-0000-00-00000-401903-0000-000000-00000-0000-,PENALTIES ALL TAXES           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-125,000.00","-125,000.00","-103,023.91","-138,000.00","-138,000.00","-186,976.62","-130,000.00","-122,754.21"
20251,Department,R,1110-0000-00-00000-401950-0000-000000-00000-0000-,TAX COLLECTION FEE            ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-43,000.00","-43,000.00","-38,928.33","-62,000.00","-62,000.00","-81,294.13","-62,000.00","-42,185.75"
20251,Department,R,1110-0000-00-00000-402100-0000-000000-00000-0000-,TRANSIENT OCCUPANCY TAX       ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-115,000.00","-115,000.00","-125,940.36","-75,000.00","-75,000.00","-160,508.28","-70,000.00","-116,257.51"
20251,Department,R,1110-0000-00-00000-402110-0000-000000-00000-0000-,LOCAL SALES TAX               ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-1,400,000.00","-1,400,000.00","-1,014,227.37","-1,300,000.00","-1,300,000.00","-1,711,465.47","-1,230,688.00","-1,562,757.42"
20251,Department,R,1110-0000-00-00000-402120-0000-000000-00000-0000-,RESTAURANT FOOD TAXES         ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-600,000.00","-600,000.00","-530,090.20","-500,000.00","-500,000.00","-653,495.31","-500,000.00","-671,725.96"
20251,Department,R,1110-0000-00-00000-402199-0000-000000-00000-0000-,TRANSIENT OCCUPANCY TAX DELINQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,295.37,0.00,0.00,0.00,0.00,0.00
20251,Department,R,1110-0000-00-00000-402210-0000-000000-00000-0000-,CONSUMER UTILITY TAX          ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-365,000.00","-365,000.00","-251,390.98","-355,000.00","-355,000.00","-372,269.73","-345,000.00","-365,159.78"
20251,Department,R,1110-0000-00-00000-402220-0000-000000-00000-0000-,CONSUMPTION TAX               ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-42,000.00","-42,000.00","-28,263.59","-40,000.00","-40,000.00","-42,630.78","-40,000.00","-42,502.61"
20251,Department,R,1110-0000-00-00000-402230-0000-000000-00000-0000-,GROSS RECEIPTS TAX (UTILITIES ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-11,000.00","-11,000.00","-9,676.41","-15,000.00","-15,000.00","-9,189.34","-15,500.00","-11,098.09"
20251,Department,R,1110-0000-00-00000-402500-0000-000000-00000-0000-,MOTOR VEHICLE LICENSE         ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-465,000.00","-465,000.00","-431,770.78","-465,000.00","-465,000.00","-484,730.05","-470,000.00","-433,793.12"
20251,Department,R,1110-0000-00-00000-402600-0000-000000-00000-0000-,BANK FRANCHISE TAX            ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-134,000.00","-134,000.00",0.00,"-115,000.00","-115,000.00","-162,194.00","-115,000.00","-148,400.00"
20251,Department,R,1110-0000-00-00000-402710-0000-000000-00000-0000-,RECORDATION TAXES             ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-140,000.00","-140,000.00","-89,610.28","-145,000.00","-145,000.00","-129,961.21","-130,000.00","-214,672.85"
20251,Department,R,1110-0000-00-00000-402720-0000-000000-00000-0000-,DELINQUENT TAX DOG LICENSE    ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,560.00,0.00,0.00,0.00,0.00,0.00
20251,Department,R,1110-0000-00-00000-402730-0000-000000-00000-0000-,ADDITIONAL TAXES ON DEEDS     ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-40,000.00","-40,000.00","-31,137.81","-35,000.00","-35,000.00","-42,831.24","-35,000.00","-62,640.88"
20251,Department,R,1110-0000-00-00000-403100-0000-000000-00000-0000-,ANIMAL LICENSES               ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-4,000.00","-4,000.00","-5,782.00","-3,000.00","-3,000.00","-7,556.00","-3,000.00","-3,956.00"
20251,Department,R,1110-0000-00-00000-403310-0000-000000-00000-0000-,ELECTRICAL PERMITS            ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-25,000.00","-25,000.00","-8,900.00","-20,000.00","-20,000.00","-20,900.96","-9,000.00","-30,492.61"
20251,Department,R,1110-0000-00-00000-403311-0000-000000-00000-0000-,BOUNDARY SURVEY FEES          ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-350.00
20251,Department,R,1110-0000-00-00000-403312-0000-000000-00000-0000-,PLUMBING PERMITS              ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-10,000.00","-10,000.00","-2,375.00","-12,000.00","-12,000.00","-6,865.14",0.00,"-12,831.00"
20251,Department,R,1110-0000-00-00000-403314-0000-000000-00000-0000-,MECHANICAL PERMITS            ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-12,000.00","-12,000.00","-3,225.00","-9,000.00","-9,000.00","-11,225.00",0.00,"-13,154.38"
20251,Department,R,1110-0000-00-00000-403315-0000-000000-00000-0000-,ELEVATOR PERMITS              ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20251,Department,R,1110-0000-00-00000-403316-0000-000000-00000-0000-,REINSPECTION FEE              ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-1,300.00","-1,300.00","-1,650.00","-1,300.00","-1,300.00","-1,800.00",0.00,"-1,550.00"
20251,Department,R,1110-0000-00-00000-403317-0000-000000-00000-0000-,INVESTIGATION FEE             ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-75.00,-75.00,-75.00,-75.00,-75.00,0.00,0.00,-75.00
20251,Department,R,1110-0000-00-00000-403318-0000-000000-00000-0000-,SEPTIC PERMITS                ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20251,Department,R,1110-0000-00-00000-403319-0000-000000-00000-0000-,SIGN PERMITS                  ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-500.00,-500.00,-210.00,-500.00,-500.00,-300.00,0.00,-300.00
20251,Department,R,1110-0000-00-00000-403320-0000-000000-00000-0000-,TEMPORARY OCCUPANCY REQUEST   ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-50.00,-50.00,-100.00,-50.00,-50.00,-200.00,0.00,0.00
20251,Department,R,1110-0000-00-00000-403321-0000-000000-00000-0000-,FAMILY DIVISION FEE           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-1,000.00","-1,000.00","-2,600.00","-1,000.00","-1,000.00",-350.00,0.00,"-2,800.00"
20251,Department,R,1110-0000-00-00000-403322-0000-000000-00000-0000-,SITE PLAN FEE                 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-1,000.00","-1,000.00","-1,325.00","-1,000.00","-1,000.00","-1,000.00",0.00,"-1,500.00"
20251,Department,R,1110-0000-00-00000-403328-0000-000000-00000-0000-,PLAN REVIEW FEES              ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-12,000.00","-12,000.00","-12,275.00","-9,000.00","-9,000.00","-15,100.00",0.00,"-12,935.00"
20251,Department,R,1110-0000-00-00000-403332-0000-000000-00000-0000-,BZA APPEAL FEE                ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-500.00,0.00,0.00,0.00,0.00,0.00
20251,Department,R,1110-0000-00-00000-403333-0000-000000-00000-0000-,VARIANCE FEE                  ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-1,000.00","-1,000.00","-1,000.00","-2,000.00","-2,000.00",-500.00,0.00,"-2,950.00"
20251,Department,R,1110-0000-00-00000-403334-0000-000000-00000-0000-,SPECIAL USE PERMIT            ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-10,000.00","-10,000.00","-10,500.00","-10,000.00","-10,000.00","-11,725.00",0.00,"-16,350.00"
20251,Department,R,1110-0000-00-00000-403335-0000-000000-00000-0000-,EROSION & SEDIMENT BONDS      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-51,000.00",0.00,0.00,0.00,0.00,0.00
20251,Department,R,1110-0000-00-00000-403336-0000-000000-00000-0000-,FESTIVAL PERMITS              ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20251,Department,R,1110-0000-00-00000-403338-0000-000000-00000-0000-,AGREEMENT IN LIEU OF A PLAN   ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-7,000.00","-7,000.00","-8,250.00","-5,000.00","-5,000.00","-9,300.00",0.00,"-12,750.00"
20251,Department,R,1110-0000-00-00000-403339-0000-000000-00000-0000-,EROSION & SEDIMENT LAND DIST  ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-4,000.00","-4,000.00","-2,375.00","-5,000.00","-5,000.00","-3,025.00",0.00,"-4,846.50"
20251,Department,R,1110-0000-00-00000-403340-0000-000000-00000-0000-,LAND USE APPLICATION FEES     ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-25,000.00","-25,000.00","-29,500.00","-25,000.00","-25,000.00","-25,200.00","-25,000.00","-24,150.00"
20251,Department,R,1110-0000-00-00000-403344-0000-000000-00000-0000-,BUILDING STATE LEVY           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-2,000.00","-2,000.00","-2,443.63","-2,000.00","-2,000.00","-3,124.79","-2,000.00","-2,682.83"
20251,Department,R,1110-0000-00-00000-403346-0000-000000-00000-0000-,FUEL GAS PERMIT               ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-2,000.00","-2,000.00","-4,868.54",0.00,0.00,"-5,050.00",0.00,"-1,350.00"
20251,Department,R,1110-0000-00-00000-403350-0000-000000-00000-0000-,LAND TRANSFER FEES            ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-500.00,-500.00,-357.51,-500.00,-500.00,-539.77,-500.00,-612.44
20251,Department,R,1110-0000-00-00000-403352-0000-000000-00000-0000-,SECONDARY STRUCTURE E911 ADDR ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-200.00,-200.00,-100.00,-200.00,-200.00,-150.00,-100.00,-400.00
20251,Department,R,1110-0000-00-00000-403370-0000-000000-00000-0000-,SUBDIVISION PERMITS           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-25,000.00","-25,000.00","-8,100.00","-25,000.00","-25,000.00","-9,300.00",0.00,"-38,250.00"
20251,Department,R,1110-0000-00-00000-403375-0000-000000-00000-0000-,REZONING FEES                 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-5,000.00","-5,000.00",0.00,"-10,000.00","-10,000.00","-2,000.00","-24,700.00","-6,800.00"
20251,Department,R,1110-0000-00-00000-403380-0000-000000-00000-0000-,BUILDING PERMITS              ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-80,000.00","-80,000.00","-119,736.23","-70,000.00","-70,000.00","-147,409.34","-123,700.00","-78,872.13"
20251,Department,R,1110-0000-00-00000-403390-0000-000000-00000-0000-,DMV STOP/RELEASE FEE          ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-8,750.00","-8,750.00","-4,624.00","-8,750.00","-8,750.00","-23,220.80","-8,500.00","-4,149.45"
20251,Department,R,1110-0000-00-00000-403392-0000-000000-00000-0000-,FINES AND FORFEITURES         ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00,0.00,-200.00
20251,Department,R,1110-0000-00-00000-403398-0000-000000-00000-0000-,SPECIAL DEALER PERMIT         ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.00,0.00,-20.00
20251,Department,R,1110-0000-00-00000-404110-0000-000000-00000-0000-,COURT FINES AND FORFEITURES   ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-500.00,"-110,000.00","-106,185.07","-150,000.00","-150,000.00","-124,379.78","-130,800.00","-181,313.77"
20251,Department,R,1110-0000-00-00000-404120-0000-000000-00000-0000-,COURT FINES INTEREST          ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-110,000.00",-500.00,-564.78,-800.00,-800.00,-173.52,0.00,0.00
20251,Department,R,1110-0000-00-00000-404140-0000-000000-00000-0000-,ALARM ORDINANCE FINE          ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-200.00,0.00,-200.00
20251,Department,R,1110-0000-00-00000-405110-0000-000000-00000-0000-,INTEREST INCOME               ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-175,000.00","-175,000.00","-651,424.00","-18,000.00","-18,000.00","-618,059.99","-75,000.00","-35,055.88"
20251,Department,R,1110-0000-00-00000-405210-0000-000000-00000-0000-,RENT CLORE PROPERTY           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-1,700.00","-1,700.00",0.00,"-1,700.00","-1,700.00","-1,134.30","-1,700.00","-1,134.30"
20251,Department,R,1110-0000-00-00000-405220-0000-000000-00000-0000-,RENT HEALTH DEPARTMENT        ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20251,Department,R,1110-0000-00-00000-405230-0000-000000-00000-0000-,RENT SOCIAL SERVICES          ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-9,183.46",0.00,0.00,"-3,532.10",0.00,0.00
20251,Department,R,1110-0000-00-00000-405270-0000-000000-00000-0000-,RENT LITERACY COUNCIL         ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-600.00,-600.00,-450.00,0.00,0.00,-550.00,-600.00,-600.00
20251,Department,R,1110-0000-00-00000-405280-0000-000000-00000-0000-,RENT FREE CLINIC              ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20251,Department,R,1110-0000-00-00000-405290-0000-000000-00000-0000-,RENT BUSINESS INCUBATOR       ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-2,000.00","-2,000.00","-1,800.00","-1,800.00","-1,800.00","-5,600.00","-1,200.00","-5,196.80"
20251,Department,R,1110-0000-00-00000-406110-0000-000000-00000-0000-,COURT HOUSE MAINTENANCE FEES  ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-5,000.00","-5,000.00","-4,745.03","-5,000.00","-5,000.00","-5,533.53","-5,000.00","-5,700.93"
20251,Department,R,1110-0000-00-00000-406130-0000-000000-00000-0000-,SHERIFF'S FEES SERVING COUR   ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-344.00,-344.00,-343.79,-344.00,-344.00,-343.79,-344.00,-343.79
20251,Department,R,1110-0000-00-00000-406150-0000-000000-00000-0000-,COURT APPT'D ATTY'S FEES      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00,-100.00,0.00,-100.00,-100.00,0.00,-100.00,0.00
20251,Department,R,1110-0000-00-00000-406160-0000-000000-00000-0000-,CLERK FEES OTHER              ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-150.00,-150.00,-132.00,-150.00,-150.00,-182.74,-150.00,-239.47
20251,Department,R,1110-0000-00-00000-406170-0000-000000-00000-0000-,COURT SECURITY FEES           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-30,000.00","-30,000.00","-47,602.51","-25,000.00","-25,000.00","-50,722.64","-25,000.00","-51,547.97"
20251,Department,R,1110-0000-00-00000-406180-0000-000000-00000-0000-,CLERK SEC REMOTE INTERNET A   ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-10,000.00",0.00
20251,Department,R,1110-0000-00-00000-406210-0000-000000-00000-0000-,COMMONWEALTH ATTORNEY FEES    ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-1,000.00","-1,000.00",-835.46,"-1,200.00","-1,200.00","-1,004.07","-1,200.00","-1,031.78"
20251,Department,R,1110-0000-00-00000-406420-0000-000000-00000-0000-,AMBULANCE TRANSPORTS          ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-350,000.00","-350,000.00","-277,325.35","-315,000.00","-315,000.00","-439,888.06","-335,000.00","-393,359.01"
20251,Department,R,1110-0000-00-00000-406510-0000-000000-00000-0000-,JAIL ADMISSION FEE            ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-1,500.00","-1,500.00",-907.29,"-1,500.00","-1,500.00","-1,284.91","-1,500.00","-1,602.05"
20251,Department,R,1110-0000-00-00000-406610-0000-000000-00000-0000-,PICKUP & BOARDING FEES        ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-1,000.00","-1,000.00",-525.00,"-1,000.00","-1,000.00","-1,206.78","-1,000.00",-777.45
20251,Department,R,1110-0000-00-00000-406620-0000-000000-00000-0000-,SHELTER ADOPTIONS             ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-12,000.00","-12,000.00","-7,815.00","-12,000.00","-12,000.00","-10,165.00","-12,000.00","-10,443.00"
20251,Department,R,1110-0000-00-00000-406810-0000-000000-00000-0000-,WASTE COLLECTION DISPOSAL REC ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-275,000.00","-275,000.00","-165,624.11","-182,500.00","-182,500.00","-290,823.20","-175,000.00","-241,790.80"
20251,Department,R,1110-0000-00-00000-408300-0000-000000-00000-0000-,REBATES & REFUNDS             ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-50,000.00","-50,000.00","-49,673.84","-50,000.00","-53,286.34","-107,459.27","-53,611.64","-714,046.88"
20251,Department,R,1110-0000-00-00000-408330-0000-000000-00000-0000-,REFUNDS TRANSIENT OCCP TAX    ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-767.46,0.00,0.00,-269.37,0.00,0.00
20251,Department,R,1110-0000-00-00000-408342-0000-000000-00000-0000-,RENT                          ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-600.00,-600.00,0.00,0.00,0.00
20251,Department,R,1110-0000-00-00000-408390-0000-000000-00000-0000-,REFUNDS PRA REIMBURSEMENT FOR ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20251,Department,R,1110-0000-00-00000-408520-0000-000000-00000-0000-,THE CENTER FOR TECHNOLOGY AND ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20251,Department,R,1110-0000-00-00000-408550-0000-000000-00000-0000-,CUL WELL FOUND EMS GRANT      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-32,470.00","-32,470.00"
20251,Department,R,1110-0000-00-00000-408610-0000-000000-00000-0000-,LOD LAW ENFORCEMENT (VACO)    ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-540.00,-540.00,-540.00,0.00,0.00,-540.00,0.00,-540.00
20251,Department,R,1110-0000-00-00000-408910-0000-000000-00000-0000-,OVERAGES/SHORTAGE             ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,-5.00,0.00,-66.63
20251,Department,R,1110-0000-00-00000-408911-0000-000000-00000-0000-,GAS REVENUE                   ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-365.16,0.00,0.00,492.86,0.00,0.00
20251,Department,R,1110-0000-00-00000-408914-0000-000000-00000-0000-,GIFTS/DONATIONS/CONTRIBUTIONS ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-1,825.00",0.00,"-1,350.00","-1,350.00","-5,247.43","-7,097.43"
20251,Department,R,1110-0000-00-00000-408914-0000-000000-00000-0000-EM001,EMERG WILDFIRE DONATIONS      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-5,500.00",0.00,0.00,0.00,0.00,0.00
